"Mars Year","Mission subphase","Sol","Ls","Centroid longitude","Centroid latitude","Area (square km)","Member ID","Sequence ID","Maximum latitude","Minimum latitude","Confidence interval","Missing data"
"      29","B01","       1","      120.900","      28.8500","      76.9500","       90356.984","B01_001","","      83.2500","      71.3500","      75","no"
"      29","B01","       2","      121.400","      29.6500","      74.2500","       156925.09","B01_001","","      81.9500","      66.8500","      50","no"
"      29","B01","       2","      121.400","     -117.050","     -7.64999","       35037.652","B01_004","","     -5.45000","     -9.95000","     100","no"
"      29","B01","       3","      121.800","      36.0500","      71.7500","       209257.09","B01_001","","      77.4500","      64.7500","      50","no"
"      29","B01","       3","      121.800","     -146.550","      77.6500","       186898.53","B01_006","","      84.2500","      70.0500","      50","no"
"      29","B01","       4","      122.300","     -142.250","      78.5500","       342425.94","B01_006","","      84.8500","      70.3500","      50","no"
"      29","B01","       4","      122.300","     -60.1500","      71.6500","       46494.668","B01_003","","      74.6500","      68.1500","     100","no"
"      29","B01","       5","      122.700","     -49.3500","      70.8500","       877364.00","B01_003","","      82.7500","      55.1500","      50","no"
"      29","B01","       5","      122.700","     -167.550","      78.1500","       194328.81","B01_005","","      82.9500","      73.3500","      75","no"
"      29","B01","       6","      123.100","     -50.5500","      68.9500","       1388181.6","B01_003","","      83.7500","      53.2500","      50","no"
"      29","B01","       6","      123.100","     -169.250","      78.5500","       240904.91","B01_005","","      84.8500","      72.2500","      75","no"
"      29","B01","       7","      123.600","     -47.1500","      67.1500","       1267101.5","B01_003","","      81.2500","      44.5500","      50","no"
"      29","B01","       7","      123.600","     -161.750","      76.7500","       223409.77","B01_005","","      83.3500","      70.6500","      75","no"
"      29","B01","       8","      124.000","     -55.1500","      70.8500","       979544.44","B01_003","","      81.2500","      58.6500","      50","no"
"      29","B01","       8","      124.000","     -153.850","      76.2500","       278184.16","B01_005","","      81.3500","      71.6500","      50","no"
"      29","B01","       9","      124.500","     -49.0500","      66.2500","       1139548.9","B01_003","","      79.8500","      53.2500","      50","no"
"      29","B01","      10","      125.000","     -42.8500","      64.1500","       617903.00","B01_003","","      72.5500","      54.3500","      50","no"
"      29","B01","      11","      125.400","     -36.5500","      64.5500","       646943.69","B01_003","","      75.0500","      52.6500","      50","no"
"      29","B01","      12","      125.800","     -103.250","     -15.2500","       188883.70","B01_009","","     -10.9500","     -19.7500","     100","no"
"      29","B01","      14","      126.700","      128.850","      75.9500","       256090.42","B01_008","","      81.4500","      69.9500","      50","no"
"      29","B01","      14","      126.700","      25.2500","     -39.7500","       205953.44","B01_002","","     -35.8500","     -42.9500","      75","no"
"      29","B01","      15","      127.200","      147.650","      72.5500","       428395.44","B01_008","","      78.7500","      67.8500","      50","no"
"      29","B01","      18","      128.400","     -44.0500","      61.7500","       509083.56","B01_010","","      71.5500","      51.2500","      50","yes"
"      29","B01","      18","      128.400","      21.0500","     -39.8500","       157491.11","B01_017","","     -36.4500","     -43.1500","      75","yes"
"      29","B01","      19","      128.900","      29.5500","     -37.7500","       35856.617","B01_017","","     -36.2500","     -39.1500","      75","no"
"      29","B01","      20","      129.400","     -91.9500","     -20.6500","       1343.6617","B01_011","","     -20.1500","     -20.9500","     100","no"
"      29","B01","      24","      131.200","      37.5500","     -41.1500","       228938.06","B01_007","","     -34.6500","     -45.1500","      50","yes"
"      29","B01","      28","      133.000","     -22.4500","     -33.6500","       28879.043","B01_012","","     -31.9500","     -35.8500","      75","no"
"      29","B01","      28","      133.000","      6.85001","     -42.7500","       54687.711","B01_013","","     -40.8500","     -44.5500","      75","no"
"      29","B01","      29","      133.400","      30.9500","     -38.3500","       206503.39","B01_014","","     -32.5500","     -43.0500","      50","yes"
"      29","B01","      31","      134.400","     -99.8500","     -10.5500","       88252.352","B01_015","","     -7.14999","     -13.9500","      75","no"
"      29","B01","      31","      134.400","      21.8500","     -44.2500","       141555.06","B01_016","","     -41.3500","     -46.1500","      50","yes"
"      29","B01","      32","      134.800","      27.5500","     -43.7500","       107235.59","B01_016","","     -41.9500","     -45.5500","      50","yes"
"      29","B02","       1","      135.300","      32.1500","     -42.4500","       133621.84","B01_016","","     -39.8500","     -45.3500","      50","yes"
"      29","B02","       1","      135.300","     -79.9500","     -23.9500","       291360.47","B02_002","B02_01","     -19.6500","     -28.4500","      75","no"
"      29","B02","       1","      135.300","     -25.9500","     -39.2500","       306463.44","B02_012","B02_01","     -33.6500","     -43.7500","      75","no"
"      29","B02","       1","      135.300","     -72.9500","     -14.4500","       441562.22","B02_003","B02_01","     -7.05000","     -21.4500","     100","no"
"      29","B02","       1","      135.300","     -55.2500","     -14.9500","       276998.16","B02_008","B02_01","     -8.45000","     -20.0500","     100","no"
"      29","B02","       1","      135.300","     -39.3500","     -28.9500","       477812.00","B02_010","B02_01","     -19.3500","     -37.3500","      75","no"
"      29","B02","       2","      135.800","      35.2500","     -39.8500","       230865.30","B01_016","","     -34.6500","     -44.9500","      50","yes"
"      29","B02","       2","      135.800","      66.5500","     -34.8500","       142513.47","B02_004","","     -31.3500","     -38.5500","      75","no"
"      29","B02","       2","      135.800","     -71.0500","     -40.3500","       136629.38","B02_005","","     -35.5500","     -43.5500","      75","yes"
"      29","B02","       2","      135.800","     -29.9500","     -16.6500","       1218658.2","B02_010","B02_01","     -6.45000","     -28.7500","      50","yes"
"      29","B02","       2","      135.800","     -56.2500","     -19.2500","       1248391.6","B02_002+003+008","B02_01","     -9.55000","     -34.8500","      75","yes"
"      29","B02","       2","      135.800","     -80.3500","     -33.1500","       108755.73","B02_067","B02_01","     -28.6500","     -36.8500","     100","no"
"      29","B02","       3","      136.200","     -65.9500","      74.5500","       133995.84","B02_001","","      78.8500","      70.3500","      50","no"
"      29","B02","       3","      136.200","      68.3500","     -33.5500","       166330.88","B02_004","","     -29.7500","     -37.2500","      75","no"
"      29","B02","       3","      136.200","      35.4500","     -39.9500","       194849.67","B01_016","","     -34.0500","     -44.7500","      50","yes"
"      29","B02","       3","      136.200","     -17.5500","     -42.4500","       135396.05","B02_006","","     -39.6500","     -44.5500","      50","yes"
"      29","B02","       3","      136.200","     -27.8500","     -18.4500","       3351916.0","B02_002+003+008+010","B02_01","     -5.14999","     -33.7500","      50","yes"
"      29","B02","       3","      136.200","      153.650","     -34.7500","       352135.00","B02_007","","     -30.9500","     -39.1500","      50","yes"
"      29","B02","       4","      136.700","      68.7500","     -33.9500","       120336.36","B02_004","","     -29.4500","     -37.9500","      75","no"
"      29","B02","       4","      136.700","     -54.5500","      70.3500","       508814.41","B02_001","","      80.4500","      57.0500","      50","no"
"      29","B02","       4","      136.700","     -72.2500","     -10.4500","       152627.17","B02_009","B02_01","     -7.45000","     -13.6500","     100","no"
"      29","B02","       4","      136.700","     -53.3500","     -39.3500","       378639.44","B02_011","B02_02","     -34.4500","     -46.8500","      50","yes"
"      29","B02","       5","      137.200","      134.850","      65.8500","       58527.758","B02_017","","      68.6500","      61.8500","      50","no"
"      29","B02","       5","      137.200","      124.650","      74.6500","       47006.586","B02_018","","      76.5500","      72.2500","      50","no"
"      29","B02","       5","      137.200","     -47.8500","     -25.2500","       1956662.6","B02_011","B02_02","     -3.35000","     -46.0500","      75","yes"
"      29","B02","       6","      137.600","      151.350","      62.4500","       148137.59","B02_017","","      69.0500","      58.5500","      50","no"
"      29","B02","       6","      137.600","      131.750","      74.0500","       134240.41","B02_018","","      78.1500","      69.1500","      50","no"
"      29","B02","       6","      137.600","     -38.9500","     -21.3500","       2051696.5","B02_011","B02_02","     -2.85000","     -41.6500","      75","yes"
"      29","B02","       6","      137.600","     -64.8500","     -18.5500","       1070407.2","B02_013","B02_02","     -9.35000","     -29.6500","     100","no"
"      29","B02","       7","      138.100","     -79.5500","     -37.2500","       107589.46","B02_020","B02_02","     -34.6500","     -41.6500","      75","no"
"      29","B02","       7","      138.100","     -62.1500","     -34.6500","       295906.06","B02_021","B02_02","     -30.1500","     -39.1500","      50","yes"
"      29","B02","       7","      138.100","     -81.2500","     -27.2500","       379908.12","B02_023","B02_02","     -21.8500","     -31.6500","      75","no"
"      29","B02","       7","      138.100","      32.7500","     -42.1500","       98659.344","B02_022","","     -39.0500","     -44.9500","      50","no"
"      29","B02","       7","      138.100","     -4.14999","     -22.4500","       822503.25","B02_027","B02_02","     -13.7500","     -32.5500","      50","no"
"      29","B02","       7","      138.100","     -33.5500","      78.5500","       505082.84","B02_024","","      83.1500","      71.0500","      50","no"
"      29","B02","       7","      138.100","      44.4500","      73.3500","       260899.31","B02_025","","      78.4500","      66.8500","      50","no"
"      29","B02","       7","      138.100","      132.450","      59.8500","       256550.45","B02_017","","      66.7500","      54.7500","      50","no"
"      29","B02","       7","      138.100","      123.250","      74.6500","       271746.69","B02_018","","      78.6500","      69.7500","      50","no"
"      29","B02","       7","      138.100","     -33.7500","     -14.8500","       1755647.6","B02_011","B02_02","    -0.149994","     -31.2500","      75","no"
"      29","B02","       7","      138.100","     -59.2500","     -20.9500","       734804.81","B02_013","B02_02","     -10.3500","     -31.8500","      75","no"
"      29","B02","       8","      138.500","      150.550","      71.4500","       959192.31","B02_017+018","","      81.3500","      57.3500","      50","no"
"      29","B02","       8","      138.500","      62.4500","      74.2500","       348128.25","B02_025","","      78.6500","      63.7500","      50","no"
"      29","B02","       8","      138.500","     -66.5500","      77.4500","       446777.31","B02_026","","      84.2500","      68.7500","      50","no"
"      29","B02","       8","      138.500","     -16.0500","      80.2500","       258025.50","B02_024","","      86.5500","      74.9500","      50","no"
"      29","B02","       8","      138.500","     -48.9500","     -21.7500","       687339.44","B02_013","B02_02","     -10.3500","     -36.4500","      50","yes"
"      29","B02","       8","      138.500","     -77.4500","     -19.8500","       1631279.8","B02_023","B02_02","    -0.649994","     -34.8500","     100","no"
