,Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data
0,29,B01,1,120.9,28.85,76.95,90356.984,B01_001,,83.25,71.35,75,1
1,29,B01,2,121.4,29.65,74.25,156925.09,B01_001,,81.95,66.85,50,1
2,29,B01,2,121.4,-117.05,-7.64999,35037.652,B01_004,,-5.45,-9.95,100,1
3,29,B01,3,121.8,36.05,71.75,209257.09,B01_001,,77.45,64.75,50,1
4,29,B01,3,121.8,-146.55,77.65,186898.53,B01_006,,84.25,70.05,50,1
5,29,B01,4,122.3,-142.25,78.55,342425.94,B01_006,,84.85,70.35,50,1
6,29,B01,4,122.3,-60.15,71.65,46494.668,B01_003,,74.65,68.15,100,1
7,29,B01,5,122.7,-49.35,70.85,877364.0,B01_003,,82.75,55.15,50,1
8,29,B01,5,122.7,-167.55,78.15,194328.81,B01_005,,82.95,73.35,75,1
9,29,B01,6,123.1,-50.55,68.95,1388181.6,B01_003,,83.75,53.25,50,1
10,29,B01,6,123.1,-169.25,78.55,240904.91,B01_005,,84.85,72.25,75,1
11,29,B01,7,123.6,-47.15,67.15,1267101.5,B01_003,,81.25,44.55,50,1
12,29,B01,7,123.6,-161.75,76.75,223409.77,B01_005,,83.35,70.65,75,1
13,29,B01,8,124.0,-55.15,70.85,979544.44,B01_003,,81.25,58.65,50,1
14,29,B01,8,124.0,-153.85,76.25,278184.16,B01_005,,81.35,71.65,50,1
15,29,B01,9,124.5,-49.05,66.25,1139548.9,B01_003,,79.85,53.25,50,1
16,29,B01,10,125.0,-42.85,64.15,617903.0,B01_003,,72.55,54.35,50,1
17,29,B01,11,125.4,-36.55,64.55,646943.69,B01_003,,75.05,52.65,50,1
18,29,B01,12,125.8,-103.25,-15.25,188883.7,B01_009,,-10.95,-19.75,100,1
19,29,B01,14,126.7,128.85,75.95,256090.42,B01_008,,81.45,69.95,50,1
20,29,B01,14,126.7,25.25,-39.75,205953.44,B01_002,,-35.85,-42.95,75,1
21,29,B01,15,127.2,147.65,72.55,428395.44,B01_008,,78.75,67.85,50,1
22,29,B01,18,128.4,-44.05,61.75,509083.56,B01_010,,71.55,51.25,50,0
23,29,B01,18,128.4,21.05,-39.85,157491.11,B01_017,,-36.45,-43.15,75,0
24,29,B01,19,128.9,29.55,-37.75,35856.617,B01_017,,-36.25,-39.15,75,1
25,29,B01,20,129.4,-91.95,-20.65,1343.6617,B01_011,,-20.15,-20.95,100,1
26,29,B01,24,131.2,37.55,-41.15,228938.06,B01_007,,-34.65,-45.15,50,0
27,29,B01,28,133.0,-22.45,-33.65,28879.042999999998,B01_012,,-31.95,-35.85,75,1
28,29,B01,28,133.0,6.85001,-42.75,54687.710999999996,B01_013,,-40.85,-44.55,75,1
29,29,B01,29,133.4,30.95,-38.35,206503.39,B01_014,,-32.55,-43.05,50,0
30,29,B01,31,134.4,-99.85,-10.55,88252.352,B01_015,,-7.14999,-13.95,75,1
